source_code,target_system,target_code
01193,http://hl7.org/fhir/sid/icd-10,A15.0
01194,http://hl7.org/fhir/sid/icd-10,A15.0
01195,http://hl7.org/fhir/sid/icd-10,A15.0
01196,http://hl7.org/fhir/sid/icd-10,A15.0
01200,http://hl7.org/fhir/sid/icd-10,A15.6
01201,http://hl7.org/fhir/sid/icd-10,A15.6
01202,http://hl7.org/fhir/sid/icd-10,A15.6
01203,http://hl7.org/fhir/sid/icd-10,A15.6
01204,http://hl7.org/fhir/sid/icd-10,A15.6
01205,http://hl7.org/fhir/sid/icd-10,A15.6
01206,http://hl7.org/fhir/sid/icd-10,A15.6
01210,http://hl7.org/fhir/sid/icd-10,A15.4
01211,http://hl7.org/fhir/sid/icd-10,A15.4
01212,http://hl7.org/fhir/sid/icd-10,A15.4
01213,http://hl7.org/fhir/sid/icd-10,A15.4
01214,http://hl7.org/fhir/sid/icd-10,A15.4
01215,http://hl7.org/fhir/sid/icd-10,A15.4
01216,http://hl7.org/fhir/sid/icd-10,A15.4
01220,http://hl7.org/fhir/sid/icd-10,A15.5
01221,http://hl7.org/fhir/sid/icd-10,A15.5
01222,http://hl7.org/fhir/sid/icd-10,A15.5
01223,http://hl7.org/fhir/sid/icd-10,A15.5
01224,http://hl7.org/fhir/sid/icd-10,A15.5
01225,http://hl7.org/fhir/sid/icd-10,A15.5
01226,http://hl7.org/fhir/sid/icd-10,A15.5
01230,http://hl7.org/fhir/sid/icd-10,A15.5
01231,http://hl7.org/fhir/sid/icd-10,A15.5
01232,http://hl7.org/fhir/sid/icd-10,A15.5
01233,http://hl7.org/fhir/sid/icd-10,A15.5
01234,http://hl7.org/fhir/sid/icd-10,A15.5
01235,http://hl7.org/fhir/sid/icd-10,A15.5
01236,http://hl7.org/fhir/sid/icd-10,A15.5
01280,http://hl7.org/fhir/sid/icd-10,A15.8
01281,http://hl7.org/fhir/sid/icd-10,A15.8
01282,http://hl7.org/fhir/sid/icd-10,A15.8
01283,http://hl7.org/fhir/sid/icd-10,A15.8
01284,http://hl7.org/fhir/sid/icd-10,A15.8
01285,http://hl7.org/fhir/sid/icd-10,A15.8
01286,http://hl7.org/fhir/sid/icd-10,A15.8
01300,http://hl7.org/fhir/sid/icd-10,A17.0
01301,http://hl7.org/fhir/sid/icd-10,A17.0
01302,http://hl7.org/fhir/sid/icd-10,A17.0
01303,http://hl7.org/fhir/sid/icd-10,A17.0
01304,http://hl7.org/fhir/sid/icd-10,A17.0
01305,http://hl7.org/fhir/sid/icd-10,A17.0
01306,http://hl7.org/fhir/sid/icd-10,A17.0
01310,http://hl7.org/fhir/sid/icd-10,A17.1
01311,http://hl7.org/fhir/sid/icd-10,A17.1
01312,http://hl7.org/fhir/sid/icd-10,A17.1
01313,http://hl7.org/fhir/sid/icd-10,A17.1
01314,http://hl7.org/fhir/sid/icd-10,A17.1
01315,http://hl7.org/fhir/sid/icd-10,A17.1
01316,http://hl7.org/fhir/sid/icd-10,A17.1
01320,http://hl7.org/fhir/sid/icd-10,A17.81
01321,http://hl7.org/fhir/sid/icd-10,A17.81
01322,http://hl7.org/fhir/sid/icd-10,A17.81
01323,http://hl7.org/fhir/sid/icd-10,A17.81
01324,http://hl7.org/fhir/sid/icd-10,A17.81
01325,http://hl7.org/fhir/sid/icd-10,A17.81
01326,http://hl7.org/fhir/sid/icd-10,A17.81
01330,http://hl7.org/fhir/sid/icd-10,A17.81
01331,http://hl7.org/fhir/sid/icd-10,A17.81
01332,http://hl7.org/fhir/sid/icd-10,A17.81
01333,http://hl7.org/fhir/sid/icd-10,A17.81
01334,http://hl7.org/fhir/sid/icd-10,A17.81
01335,http://hl7.org/fhir/sid/icd-10,A17.81
01336,http://hl7.org/fhir/sid/icd-10,A17.81
01340,http://hl7.org/fhir/sid/icd-10,A17.81
01341,http://hl7.org/fhir/sid/icd-10,A17.81
01342,http://hl7.org/fhir/sid/icd-10,A17.81
01343,http://hl7.org/fhir/sid/icd-10,A17.81
01344,http://hl7.org/fhir/sid/icd-10,A17.81
01345,http://hl7.org/fhir/sid/icd-10,A17.81
01346,http://hl7.org/fhir/sid/icd-10,A17.81
01350,http://hl7.org/fhir/sid/icd-10,A17.81
01351,http://hl7.org/fhir/sid/icd-10,A17.81
01352,http://hl7.org/fhir/sid/icd-10,A17.81
01353,http://hl7.org/fhir/sid/icd-10,A17.81
01354,http://hl7.org/fhir/sid/icd-10,A17.81
01355,http://hl7.org/fhir/sid/icd-10,A17.81
01356,http://hl7.org/fhir/sid/icd-10,A17.81
01360,http://hl7.org/fhir/sid/icd-10,A17.82
01361,http://hl7.org/fhir/sid/icd-10,A17.82
01362,http://hl7.org/fhir/sid/icd-10,A17.82
01363,http://hl7.org/fhir/sid/icd-10,A17.82
01364,http://hl7.org/fhir/sid/icd-10,A17.82
01365,http://hl7.org/fhir/sid/icd-10,A17.82
01366,http://hl7.org/fhir/sid/icd-10,A17.82
01380,http://hl7.org/fhir/sid/icd-10,A17.89
01381,http://hl7.org/fhir/sid/icd-10,A17.89
01382,http://hl7.org/fhir/sid/icd-10,A17.89
01383,http://hl7.org/fhir/sid/icd-10,A17.89
01384,http://hl7.org/fhir/sid/icd-10,A17.89
01385,http://hl7.org/fhir/sid/icd-10,A17.89
01386,http://hl7.org/fhir/sid/icd-10,A17.89
01390,http://hl7.org/fhir/sid/icd-10,A17.9
01391,http://hl7.org/fhir/sid/icd-10,A17.9
01392,http://hl7.org/fhir/sid/icd-10,A17.9
01393,http://hl7.org/fhir/sid/icd-10,A17.9
01394,http://hl7.org/fhir/sid/icd-10,A17.9
01395,http://hl7.org/fhir/sid/icd-10,A17.9
01396,http://hl7.org/fhir/sid/icd-10,A17.9
01400,http://hl7.org/fhir/sid/icd-10,A18.31
01401,http://hl7.org/fhir/sid/icd-10,A18.31
01402,http://hl7.org/fhir/sid/icd-10,A18.31
01403,http://hl7.org/fhir/sid/icd-10,A18.31
01404,http://hl7.org/fhir/sid/icd-10,A18.31
01405,http://hl7.org/fhir/sid/icd-10,A18.31
01406,http://hl7.org/fhir/sid/icd-10,A18.31
01480,http://hl7.org/fhir/sid/icd-10,A18.32
01480,http://hl7.org/fhir/sid/icd-10,A18.39
01481,http://hl7.org/fhir/sid/icd-10,A18.32
01481,http://hl7.org/fhir/sid/icd-10,A18.39
01482,http://hl7.org/fhir/sid/icd-10,A18.32
01482,http://hl7.org/fhir/sid/icd-10,A18.39
01483,http://hl7.org/fhir/sid/icd-10,A18.32
01483,http://hl7.org/fhir/sid/icd-10,A18.39
01484,http://hl7.org/fhir/sid/icd-10,A18.32
01484,http://hl7.org/fhir/sid/icd-10,A18.39
01485,http://hl7.org/fhir/sid/icd-10,A18.32
01485,http://hl7.org/fhir/sid/icd-10,A18.39
01486,http://hl7.org/fhir/sid/icd-10,A18.32
01486,http://hl7.org/fhir/sid/icd-10,A18.39
01500,http://hl7.org/fhir/sid/icd-10,A18.01
01501,http://hl7.org/fhir/sid/icd-10,A18.01
01502,http://hl7.org/fhir/sid/icd-10,A18.01
01503,http://hl7.org/fhir/sid/icd-10,A18.01
01504,http://hl7.org/fhir/sid/icd-10,A18.01
01505,http://hl7.org/fhir/sid/icd-10,A18.01
01506,http://hl7.org/fhir/sid/icd-10,A18.01
01510,http://hl7.org/fhir/sid/icd-10,A18.02
01511,http://hl7.org/fhir/sid/icd-10,A18.02
01512,http://hl7.org/fhir/sid/icd-10,A18.02
01513,http://hl7.org/fhir/sid/icd-10,A18.02
01514,http://hl7.org/fhir/sid/icd-10,A18.02
01515,http://hl7.org/fhir/sid/icd-10,A18.02
01516,http://hl7.org/fhir/sid/icd-10,A18.02
01520,http://hl7.org/fhir/sid/icd-10,A18.02
01521,http://hl7.org/fhir/sid/icd-10,A18.02
01522,http://hl7.org/fhir/sid/icd-10,A18.02
01523,http://hl7.org/fhir/sid/icd-10,A18.02
01524,http://hl7.org/fhir/sid/icd-10,A18.02
01525,http://hl7.org/fhir/sid/icd-10,A18.02
01526,http://hl7.org/fhir/sid/icd-10,A18.02
01550,http://hl7.org/fhir/sid/icd-10,A18.03
01551,http://hl7.org/fhir/sid/icd-10,A18.03
01552,http://hl7.org/fhir/sid/icd-10,A18.03
01553,http://hl7.org/fhir/sid/icd-10,A18.03
01554,http://hl7.org/fhir/sid/icd-10,A18.03
01555,http://hl7.org/fhir/sid/icd-10,A18.03
01556,http://hl7.org/fhir/sid/icd-10,A18.03
01560,http://hl7.org/fhir/sid/icd-10,A18.03
01561,http://hl7.org/fhir/sid/icd-10,A18.03
01562,http://hl7.org/fhir/sid/icd-10,A18.03
01563,http://hl7.org/fhir/sid/icd-10,A18.03
01564,http://hl7.org/fhir/sid/icd-10,A18.03
01565,http://hl7.org/fhir/sid/icd-10,A18.03
01566,http://hl7.org/fhir/sid/icd-10,A18.03
01570,http://hl7.org/fhir/sid/icd-10,A18.03
01571,http://hl7.org/fhir/sid/icd-10,A18.03
01572,http://hl7.org/fhir/sid/icd-10,A18.03
01573,http://hl7.org/fhir/sid/icd-10,A18.03
01574,http://hl7.org/fhir/sid/icd-10,A18.03
01575,http://hl7.org/fhir/sid/icd-10,A18.03
